,Gender,Balance,NumOfProducts,IsActiveMember,Geography_France,Geography_Germany,Geography_Spain,Age_bin,Exited
0,1,0.0,2,1.0,1,0,0,2,0
1,0,0.0,2,0.0,0,0,1,2,0
2,0,106891.96,1,0.0,1,0,0,4,0
3,0,0.0,2,1.0,1,0,0,0,0
4,0,86034.46,1,1.0,1,0,0,2,0
5,0,111833.47,1,0.0,1,0,0,1,0
6,0,160761.41,1,0.0,1,0,0,3,0
7,1,118311.76,1,0.0,1,0,0,2,0
8,0,102980.44,1,0.0,0,1,0,3,0
9,0,148022.01,1,0.0,0,1,0,0,0
10,0,0.0,2,1.0,1,0,0,2,0
11,0,102714.65,1,1.0,0,1,0,2,0
12,1,0.0,1,0.0,1,0,0,2,0
13,0,123374.46,2,0.0,1,0,0,2,0
14,1,0.0,1,1.0,0,0,1,1,0
15,0,83161.65,1,1.0,1,0,0,4,0
16,1,0.0,2,1.0,0,0,1,4,0
17,0,135871.24,2,1.0,0,1,0,1,0
18,0,95772.97,1,1.0,0,0,1,1,0
19,0,107101.85,2,1.0,0,1,0,1,0
20,0,169988.35,1,0.0,1,0,0,0,0
21,1,0.0,2,0.0,1,0,0,2,0
22,1,115988.86,2,1.0,0,1,0,2,0
23,0,0.0,2,0.0,1,0,0,3,0
24,0,122773.5,2,0.0,0,1,0,4,0
25,0,0.0,2,0.0,1,0,0,2,0
26,0,0.0,2,0.0,1,0,0,1,0
27,0,0.0,2,1.0,1,0,0,1,0
28,1,0.0,2,1.0,0,0,1,1,0
29,0,107713.73,1,1.0,1,0,0,2,0
30,0,0.0,1,1.0,1,0,0,1,0
31,1,125785.23,2,1.0,0,1,0,1,0
32,0,0.0,2,1.0,0,0,1,2,0
33,1,0.0,2,0.0,1,0,0,4,0
34,0,0.0,2,0.0,1,0,0,3,0
35,0,96888.39,1,1.0,1,0,0,4,0
36,0,0.0,2,0.0,0,0,1,3,0
37,1,0.0,2,1.0,1,0,0,1,0
38,0,0.0,2,0.0,0,0,1,1,0
39,1,0.0,2,0.0,1,0,0,2,0
40,0,90727.79,2,0.0,0,0,1,1,0
41,0,126803.34,2,1.0,0,1,0,1,0
42,0,0.0,1,1.0,1,0,0,2,0
43,1,0.0,2,0.0,1,0,0,2,0
44,0,0.0,2,1.0,1,0,0,2,0
45,0,124442.86,2,1.0,1,0,0,2,0
46,0,151027.05,1,0.0,1,0,0,3,0
47,1,0.0,2,1.0,1,0,0,0,0
48,1,0.0,1,1.0,1,0,0,0,0
49,0,0.0,2,1.0,1,0,0,3,0
50,0,0.0,2,1.0,1,0,0,1,0
51,1,120165.3,1,1.0,1,0,0,4,0
52,1,0.0,2,0.0,1,0,0,1,0
53,0,0.0,2,1.0,0,0,1,2,0
54,0,0.0,2,1.0,1,0,0,4,0
55,0,0.0,2,0.0,1,0,0,2,0
56,0,0.0,2,0.0,1,0,0,1,0
57,0,0.0,2,1.0,1,0,0,3,0
58,1,0.0,2,1.0,1,0,0,3,0
59,0,141581.08,1,0.0,1,0,0,0,0
60,0,124788.18,2,0.0,1,0,0,3,0
61,1,0.0,2,0.0,1,0,0,0,0
62,1,0.0,2,0.0,0,0,1,2,0
63,1,0.0,2,1.0,1,0,0,2,0
64,1,123943.18,1,1.0,1,0,0,3,0
65,1,0.0,2,0.0,1,0,0,2,0
66,1,0.0,2,0.0,1,0,0,2,0
67,1,99141.75,1,0.0,1,0,0,3,0
68,0,129855.32,1,1.0,0,0,1,0,0
69,1,97720.35,1,1.0,0,1,0,4,0
70,1,132351.22,1,0.0,1,0,0,0,0
71,1,0.0,2,1.0,1,0,0,3,0
72,0,0.0,2,0.0,1,0,0,0,0
73,0,145262.53,1,0.0,0,1,0,2,0
74,1,0.0,2,1.0,1,0,0,0,0
75,0,134760.21,2,1.0,0,1,0,0,0
76,0,0.0,2,0.0,1,0,0,0,0
77,0,0.0,2,0.0,1,0,0,1,0
78,0,0.0,2,1.0,1,0,0,1,0
79,0,0.0,1,0.0,1,0,0,4,0
80,1,97541.52,1,1.0,1,0,0,2,0
81,0,137102.65,1,1.0,0,0,1,1,0
82,0,113525.84,1,1.0,0,1,0,3,0
83,1,141078.57,1,1.0,0,0,1,0,0
84,0,154585.92,1,0.0,1,0,0,4,0
85,0,0.0,2,1.0,1,0,0,3,0
86,1,0.0,1,1.0,1,0,0,0,0
87,1,131766.71,1,0.0,0,1,0,1,0
88,0,0.0,2,0.0,1,0,0,0,0
89,0,92783.68,1,0.0,0,0,1,4,0
90,0,122359.5,2,0.0,0,1,0,2,0
91,1,133607.75,1,1.0,0,1,0,1,0
92,1,0.0,1,1.0,0,0,1,2,0
93,1,97445.49,2,0.0,1,0,0,1,0
94,0,0.0,2,0.0,1,0,0,4,0
95,0,81733.74,2,0.0,0,1,0,4,0
96,1,0.0,2,1.0,1,0,0,0,0
97,0,0.0,1,1.0,0,0,1,2,0
98,1,0.0,2,0.0,1,0,0,2,0
99,1,0.0,2,1.0,0,0,1,0,0
100,0,0.0,2,0.0,1,0,0,0,0
101,0,0.0,2,0.0,0,0,1,1,0
102,1,0.0,2,1.0,1,0,0,3,0
103,1,97544.81,2,0.0,1,0,0,2,0
104,1,0.0,2,1.0,0,0,1,4,0
105,0,0.0,1,0.0,1,0,0,0,0
106,0,0.0,2,1.0,0,0,1,0,0
107,0,136733.24,2,0.0,0,1,0,0,0
108,1,112536.57,1,0.0,1,0,0,1,0
109,1,95984.69,1,1.0,0,1,0,0,0
110,0,0.0,2,0.0,1,0,0,1,0
111,0,118899.45,2,1.0,0,1,0,0,0
112,1,0.0,1,0.0,1,0,0,1,0
113,1,0.0,1,1.0,0,0,1,0,0
114,0,144962.74,1,1.0,0,1,0,2,0
115,0,0.0,2,0.0,1,0,0,2,0
116,1,0.0,2,1.0,0,0,1,0,0
117,1,152169.12,2,1.0,1,0,0,2,0
118,0,0.0,2,1.0,0,0,1,1,0
119,0,0.0,2,1.0,0,0,1,2,0
120,0,0.0,2,1.0,0,0,1,0,0
121,1,109949.85,1,0.0,1,0,0,3,0
122,0,115545.33,1,0.0,1,0,0,2,0
123,0,0.0,2,0.0,1,0,0,2,0
124,0,0.0,2,1.0,1,0,0,4,0
125,0,0.0,2,1.0,1,0,0,0,0
126,1,110741.56,1,1.0,0,0,1,0,0
127,1,0.0,2,1.0,1,0,0,1,0
128,1,0.0,1,1.0,0,0,1,0,0
129,1,0.0,2,0.0,1,0,0,3,0
130,1,135133.39,1,1.0,0,0,1,2,0
131,0,0.0,1,0.0,1,0,0,0,0
132,0,0.0,2,0.0,1,0,0,1,0
133,1,121411.22,1,0.0,1,0,0,0,0
134,1,0.0,1,0.0,1,0,0,2,0
135,1,0.0,2,1.0,1,0,0,4,0
136,0,92467.58,1,1.0,0,0,1,0,0
137,1,0.0,2,0.0,1,0,0,1,0
138,0,0.0,2,0.0,1,0,0,2,0
139,1,113034.22,2,0.0,0,1,0,2,0
140,0,0.0,1,1.0,0,0,1,2,0
141,0,68799.67,1,0.0,1,0,0,0,0
142,0,104015.54,1,0.0,0,1,0,2,0
143,0,80931.75,2,1.0,0,0,1,1,0
144,1,0.0,2,1.0,1,0,0,0,0
145,0,97268.6,1,0.0,1,0,0,2,0
146,1,0.0,2,1.0,0,0,1,0,0
147,0,137761.6,2,1.0,0,1,0,0,0
148,1,91958.21,1,1.0,0,0,1,3,0
149,0,0.0,2,1.0,0,0,1,2,0
150,0,0.0,2,0.0,1,0,0,3,0
151,0,0.0,2,0.0,1,0,0,0,0
152,1,154309.67,2,0.0,1,0,0,1,0
153,0,134980.74,1,1.0,0,1,0,1,0
154,0,93922.8,2,0.0,0,1,0,2,0
155,1,146710.76,2,0.0,0,1,0,3,0
156,0,0.0,2,1.0,1,0,0,1,0
157,0,140891.46,2,1.0,1,0,0,0,0
158,1,130170.82,2,1.0,1,0,0,2,0
